timestamp,open,high,low,close,volume,rsi_10,rsi_14,rsi_30,rsi_200,macd,macd_signal,macd_diff,ema_10,ema_30,ema_200,bb_high,bb_low,bb_mid,bb_width,atr_14,stoch_k,stoch_d,volume_ema_10,volume_ema_30,volume_ratio,close_lag_1,close_lag_2,close_lag_3,close_lag_5,close_lag_7,volume_lag_1,volume_lag_2,volume_lag_3,close_rolling_mean_7,close_rolling_mean_30,close_rolling_mean_90,close_rolling_std_7,close_rolling_std_30,close_rolling_min_30,close_rolling_max_30,returns,log_returns,returns_7d,momentum_10,momentum_30,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,price_volume_interaction,rsi_macd_interaction,high_low_range,close_position,price_to_ema_30_ratio,price_to_ema_200_ratio
2024-04-28,63423.515625,64321.484375,62793.59765625,63113.23046875,17334827993,40.43144993840151,43.134280697293086,49.14786716947575,56.97686193044213,-852.6772193551515,-668.2496415928795,-184.427577762272,64325.75864180305,65402.68504180618,51654.01823519185,70021.23630008988,60441.46369991013,65231.35,14.685841394022582,2907.81069197724,45.65522904605443,48.30299282835023,26499805136.15557,32838913045.990562,0.5278745970892139,63419.140625,63755.3203125,64481.70703125,66407.2734375,64926.64453125,19530783039.0,24139372950.0,32155786816.0,64613.03571428572,66432.41315104166,60918.71475694444,1455.394693088243,2863.2504476099803,61276.69140625,71631.359375,-0.004823625063903991,-0.004835296290154387,-0.02793019838915567,-399.5234375,-6779.59765625,0.0,1.0,-0.7818314824680299,0.6234898018587334,1094056994258348.0,-7955.150907519688,1527.88671875,0.209199287209904,0.9649944865169858,1.2218455141550029
2024-04-29,63106.36328125,64174.87890625,61795.45703125,63841.12109375,26635912073,44.43436873146193,45.54014987581212,50.020944362903656,57.19237826302869,-842.2752155326307,-703.0547563808298,-139.22045915180092,64237.642723975216,65301.938980641266,51775.28294025213,69438.02223124317,60494.88831563183,64966.4552734375,13.765771701673666,2870.0686336217227,55.25475262449141,50.19986557713397,26524551851.945465,32438719434.829884,0.8211147831070257,63113.23046875,63419.140625,63755.3203125,64276.8984375,66837.6796875,17334827993.0,19530783039.0,24139372950.0,64184.95591517857,66238.94036458334,61150.80933159722,1085.7476263715894,2834.6200960231026,61276.69140625,71631.359375,0.011533090916022948,0.011467091787556437,-0.044833372549143324,-2.44921875,-5804.18359375,0.0,1.0,0.0,1.0,1700466488094870.5,-6340.120575552393,2379.421875,0.8597315524385157,0.977629793085862,1.2330424377868012
2024-04-30,63839.41796875,64703.33203125,59120.06640625,60636.85546875,37840840057,33.4423699261971,37.932069714364,46.393612402043615,55.952338391248524,-1080.137852531705,-778.4713756110049,-301.6664769207001,63582.95413211608,65000.96585084183,51863.457791281966,68522.75133610511,60415.05647639489,64468.90390625,12.576132628996362,3063.868418720171,18.69372416240082,39.86790194431555,28582058798.319016,32787243345.937634,1.1541330162387229,63841.12109375,63113.23046875,63419.140625,64481.70703125,66407.2734375,26635912073.0,17334827993.0,19530783039.0,63360.61049107143,65882.38059895833,61351.412109375,1288.8361293064622,2844.4157051812326,60636.85546875,71631.359375,-0.050191249309274655,-0.051494629716542104,-0.08689436668681927,-4357.5859375,-10696.79296875,0.0,1.0,0.7818314824680297,0.6234898018587336,2294549549352394.5,-11442.833833042574,5583.265625,0.2716670071558655,0.9328608379126815,1.169163377281464
2024-05-01,60609.49609375,60780.5,56555.29296875,58254.01171875,48439780271,27.766815664392496,33.45591331673471,43.942247342664366,55.06010493976979,-1444.272606846862,-911.6316218581763,-532.6409849886855,62614.05551150406,64565.67848748107,51927.04539255031,67941.97954996044,59815.16849691456,63878.5740234375,12.722280009043557,3146.8211767580165,15.907590300317624,29.952022362403287,32192553611.533737,33797084437.877144,1.4332532251424759,60636.85546875,63841.12109375,63113.23046875,63755.3203125,64276.8984375,37840840057.0,26635912073.0,17334827993.0,62500.19810267857,65500.776041666664,61520.05920138889,2236.89488961964,3073.036489456307,58254.01171875,71631.359375,-0.03929695449375714,-0.040089923480657194,-0.09370219884841502,-6672.6328125,-11448.13671875,0.0,1.0,0.9749279121818236,-0.22252093395631434,2821811527560509.0,-17819.990622721656,4225.20703125,0.40204390872117923,0.9022442431243876,1.1218433723384398
2024-05-02,58253.703125,59602.296875,56937.203125,59123.43359375,32711813559,32.41670967409442,36.404700371187545,45.038391047571906,55.32136443230136,-1643.748830520024,-1058.055063590546,-585.693766929478,61979.396981003316,64214.56591369197,51998.65124529857,67738.87166119313,59211.033026306875,63474.95234375,13.434966581311567,3112.4120748467294,24.049260006167376,19.550191489628606,32286964511.073055,33727066961.820557,0.969897963437798,58254.01171875,60636.85546875,63841.12109375,63419.140625,64481.70703125,48439780271.0,37840840057.0,26635912073.0,61734.73046875,65289.99140625,61697.143359375,2359.264310042587,3286.3234971949496,58254.01171875,71631.359375,0.014924669552331737,0.014814392549697799,-0.08309757424540887,-7714.24609375,-6323.5390625,0.0,1.0,0.43388373911755823,-0.900968867902419,1934034736686667.2,-21322.0060943398,2665.09375,0.8203202865752538,0.92071686154844,1.1370185990948274
2024-05-03,59122.30078125,63320.50390625,58848.3125,62889.8359375,33172023048,48.404031031940185,47.299713345964705,49.466615282978076,56.42431813811034,-1480.847692522977,-1142.6135893770324,-338.2341031459446,62144.931336729984,64129.09946361507,52107.021242235896,67696.4831413175,59160.25787430749,63428.3705078125,13.458055439022504,3209.539169946963,59.319598542509,33.092149616331334,32447884245.05977,33691257677.05794,0.9845884462362616,59123.43359375,58254.01171875,60636.85546875,63113.23046875,63755.3203125,32711813559.0,48439780271.0,37840840057.0,61611.08984375,65186.95885416667,61918.227647569445,2256.1488132827167,3312.269682325826,58254.01171875,71631.359375,0.06370405294167747,0.06175720649824811,-0.013575092568867686,-3517.4375,-3090.9765625,0.0,1.0,-0.433883739117558,-0.9009688679024191,2086183087203688.8,-15998.376122632637,4472.19140625,0.9037009086533682,0.980675488405723,1.2069359260652546
2024-05-04,62891.03125,64494.95703125,62599.3515625,63891.47265625,20620477992,51.77496278765763,49.76451264950676,50.56242243624349,56.70994951890664,-1256.4401943911362,-1165.3789103798533,-91.06128401128285,62462.48430391544,64113.768701849585,52224.279465260915,67478.23012454878,59193.785500451224,63336.0078125,13.08014968139898,3115.6867627186084,68.69938937111407,50.689415973263486,30297446744.503445,32847981568.34453,0.6277547967170036,62889.8359375,59123.43359375,58254.01171875,63841.12109375,63419.140625,33172023048.0,32711813559.0,48439780271.0,61678.56584821428,65033.046484375,62154.98198784722,2325.240914822216,3259.4450432326894,58254.01171875,71631.359375,0.015926845790239064,0.015801344389047563,0.007447783533411689,-385.42578125,-4617.37109375,0.0,1.0,-0.9749279121818236,-0.2225209339563146,1317472705784673.0,-4531.620420059813,1895.60546875,0.6816403070423627,0.9965327877287414,1.2234055368585768
2024-05-05,63892.453125,64610.890625,62955.3046875,64031.1328125,18296164805,52.258191610182024,50.11485031758544,50.716571962794035,56.74967693230703,-1055.1629660754115,-1143.3357215189649,88.17275544355334,62747.69312365808,64108.43735414962,52341.76059309414,67519.48864679372,59213.01916570628,63366.25390625,13.108664263752768,3011.3938466315653,70.00723185351637,66.00873992237982,28115395482.775543,31909154680.386818,0.57338293628461,63891.47265625,62889.8359375,59123.43359375,60636.85546875,63113.23046875,20620477992.0,33172023048.0,32711813559.0,61809.69475446428,64906.162890625,62392.45381944445,2442.5538919141904,3220.358606220768,58254.01171875,71631.359375,0.002185896653241981,0.002183511056964741,0.01454373887903726,-450.57421875,-3806.5078125,0.0,1.0,-0.7818314824680299,0.6234898018587334,1171524158588343.2,4418.764441142743,1655.5859375,0.6498171436660533,0.9987941596326444,1.2233278377905386
2024-05-06,64038.3125,65494.90234375,62746.23828125,63161.94921875,28697928697,48.87181530415144,47.87702072541232,49.71849227663158,56.42578826827663,-954.7790657160658,-1105.624390358385,150.84532464231916,62823.01241367479,64047.37360347868,52449.424161508636,67482.70619812592,59184.81020812407,63333.758203125,13.10185314345109,2992.627433479311,62.069595732023515,66.92540565221799,28221310612.634533,31701978810.490894,0.9052409273424665,64031.1328125,63891.47265625,62889.8359375,58254.01171875,63841.12109375,18296164805.0,20620477992.0,33172023048.0,61712.670200892855,64715.02421875,62615.534678819444,2360.523243749771,3144.657021238645,58254.01171875,71631.359375,-0.013574390387488533,-0.013667364763724113,-0.010638470367753117,-593.37109375,-5734.16015625,0.0,1.0,0.0,1.0,1812617115043222.2,7222.024734231864,2748.6640625,0.15124108586841353,0.9861754770740406,1.2042448554678873
2024-05-07,63162.76171875,64390.45703125,62285.98046875,62334.81640625,25930730982,45.73796060898735,45.781928844491404,48.77358970196474,56.119460413146996,-931.2321423209578,-1070.7459407508995,139.51379842994174,62734.249503233914,63936.88604236716,52547.78627339661,67455.55193761183,59317.776968638165,63386.664453125,12.83830761435889,2929.1880855522177,54.93804812896772,62.33829190483587,27804841588.882797,31329640240.910835,0.8276740742186743,63161.94921875,64031.1328125,63891.47265625,59123.43359375,60636.85546875,28697928697.0,18296164805.0,20620477992.0,61955.236049107145,64480.766276041664,62815.71905381944,2318.4132912261002,3046.7433824501395,58254.01171875,71631.359375,-0.01309542885757653,-0.01318192999564668,0.028002127161344426,-1084.32421875,-7027.73828125,0.0,1.0,0.7818314824680297,0.6234898018587336,1616387355042828.8,6387.21079254431,2104.4765625,0.023205740738677236,0.9749429517875541,1.1862500939988818
