timestamp,target_1d_price,target_3d_price,target_7d_price
2024-04-28,63841.12109375,58254.01171875,64031.1328125
2024-04-29,60636.85546875,59123.43359375,63161.94921875
2024-04-30,58254.01171875,62889.8359375,62334.81640625
2024-05-01,59123.43359375,63891.47265625,61187.94140625
2024-05-02,62889.8359375,64031.1328125,63049.9609375
2024-05-03,63891.47265625,63161.94921875,60792.77734375
2024-05-04,64031.1328125,62334.81640625,60793.7109375
2024-05-05,63161.94921875,61187.94140625,61448.39453125
2024-05-06,62334.81640625,63049.9609375,62901.44921875
2024-05-07,61187.94140625,60792.77734375,61552.7890625
2024-05-08,63049.9609375,60793.7109375,66267.4921875
2024-05-09,60792.77734375,61448.39453125,65231.58203125
2024-05-10,60793.7109375,62901.44921875,67051.875
2024-05-11,61448.39453125,61552.7890625,66940.8046875
2024-05-12,62901.44921875,66267.4921875,66278.3671875
2024-05-13,61552.7890625,65231.58203125,71448.1953125
2024-05-14,66267.4921875,67051.875,70136.53125
2024-05-15,65231.58203125,66940.8046875,69122.3359375
2024-05-16,67051.875,66278.3671875,67929.5625
2024-05-17,66940.8046875,71448.1953125,68526.1015625
2024-05-18,66278.3671875,70136.53125,69265.9453125
2024-05-19,71448.1953125,69122.3359375,68518.09375
2024-05-20,70136.53125,67929.5625,69394.5546875
2024-05-21,69122.3359375,68526.1015625,68296.21875
2024-05-22,67929.5625,69265.9453125,67578.09375
2024-05-23,68526.1015625,68518.09375,68364.9921875
2024-05-24,69265.9453125,69394.5546875,67491.4140625
2024-05-25,68518.09375,68296.21875,67706.9375
2024-05-26,69394.5546875,67578.09375,67751.6015625
2024-05-27,68296.21875,68364.9921875,68804.78125
2024-05-28,67578.09375,67491.4140625,70567.765625
2024-05-29,68364.9921875,67706.9375,71082.8203125
2024-05-30,67491.4140625,67751.6015625,70757.1640625
2024-05-31,67706.9375,68804.78125,69342.5859375
2024-06-01,67751.6015625,70567.765625,69305.7734375
2024-06-02,68804.78125,71082.8203125,69647.9921875
2024-06-03,70567.765625,70757.1640625,69512.28125
2024-06-04,71082.8203125,69342.5859375,67332.03125
2024-06-05,70757.1640625,69305.7734375,68241.1875
2024-06-06,69342.5859375,69647.9921875,66756.3984375
2024-06-07,69305.7734375,69512.28125,66011.09375
2024-06-08,69647.9921875,67332.03125,66191.0
2024-06-09,69512.28125,68241.1875,66639.046875
2024-06-10,67332.03125,66756.3984375,66490.296875
2024-06-11,68241.1875,66011.09375,65140.74609375
2024-06-12,66756.3984375,66191.0,64960.296875
2024-06-13,66011.09375,66639.046875,64828.65625
2024-06-14,66191.0,66490.296875,64096.19921875
2024-06-15,66639.046875,65140.74609375,64252.578125
