timestamp,target_1d_return,target_3d_return,target_7d_return
2024-04-28,0.011533090916022894,-0.07699207779272212,0.014543738879037286
2024-04-29,-0.05019124930927467,-0.07389731601160522,-0.010638470367753151
2024-04-30,-0.03929695449375718,0.037155298561138334,0.028002127161344415
2024-05-01,0.014924669552331663,0.096773780400183,0.05036442299742366
2024-05-02,0.06370405294167743,0.08300768274846605,0.06641236993659781
2024-05-03,0.01592684579023911,0.004326824473201465,-0.033344952526733564
2024-05-04,0.0021858966532420057,-0.024364069026474765,-0.048484744363565244
2024-05-05,-0.013574390387488509,-0.04440326574536191,-0.040335664352728805
2024-05-06,-0.013095428857576497,-0.0017730339648345686,-0.004124318568728861
2024-05-07,-0.01839862641971315,-0.024738006003742517,-0.012545594722752565
2024-05-08,0.030431151767099738,-0.0064429438168634254,0.08301555281170406
2024-05-09,-0.03579992057390004,-0.025401544781884902,0.034601466223152647
2024-05-10,1.5356984674693122e-05,0.034686223711685525,0.10295791588626091
2024-05-11,0.010768936188532042,0.012486129129053877,0.1011139747056998
2024-05-12,0.023646747788683708,0.07842511904520491,0.07860209681790277
2024-05-13,-0.02144084393922015,0.03704418326510388,0.13587518570561552
2024-05-14,0.07659609250545486,0.08933934629536106,0.13945334270367776
2024-05-15,-0.0156322522862183,0.010160524833124839,0.04308060642950523
2024-05-16,0.027905086954321697,0.016047213997485522,0.041360034276916646
2024-05-17,-0.0016564833198176785,0.06556595639570109,0.02198635850973593
2024-05-18,-0.009895869986810876,0.04773958988719394,0.03473427957513302
2024-05-19,0.0780017424143035,0.042909457047342114,0.03379272389381387
2024-05-20,-0.018358253231772276,-0.049247329440725685,-0.028743072040067492
2024-05-21,-0.014460300422969663,-0.0229613535029222,-0.026239000806017192
2024-05-22,-0.017255976976508703,0.0020776117162743277,-0.022340711819928864
2024-05-23,0.00878172978811692,0.008663845729905886,0.006410017545748215
2024-05-24,0.01079652472751886,0.012673318709191674,-0.015099173547123524
2024-05-25,-0.010796814497022966,-0.014000048048503272,-0.022507565665441882
