horizon,train_samples,test_samples,return_train_mae,return_test_mae,return_test_r2,directional_accuracy,price_mae,price_mape
1h,5986,1283,0.0035457806657696257,0.0023825760784239127,-0.0009689383438997723,50.350740452065466,272.42750063118274,0.23838960852443303
4h,5984,1283,0.007126832483204208,0.0049119401421967475,-0.003981201625293362,49.57131722525332,562.5359559598862,0.49204468555718095
6h,5982,1283,0.00872941651580904,0.006020239713634589,-0.0060870331524376375,50.58456742010912,690.1167962011389,0.6037023491248883
12h,5978,1282,0.012754766910391048,0.008794718005861691,-0.01138145677575797,52.106084243369736,1009.3761442719273,0.8843971342723609
24h,5970,1280,0.01807437998959887,0.013163746963593062,-0.021290083020347517,52.65625000000001,1514.096679178327,1.3286625484384393
