horizon,train_samples,test_samples,return_train_mape,return_test_mape,return_test_r2,directional_accuracy,price_mae,price_mape
1h,4422,1106,1479958638.4034114,100.84951942284985,-0.0006645322727500957,47.287522603978296,190.53905645078285,0.16137644047791094
2h,4421,1106,5447724578.218153,100.41004950116155,-0.001184700866413424,48.824593128390596,270.83914022771677,0.22954603139289392
8h,4416,1105,11705174963.361948,102.03635326908875,-0.006311855685540602,48.50678733031674,554.2313690827189,0.4689070372653799
