timestamp,price
2025-09-11 16:02:38.478,114136.79634924185
2025-09-11 17:00:16.404,114499.52326893095
2025-09-11 18:02:17.055,114546.6290692586
2025-09-11 19:01:46.198,114309.82612735903
2025-09-11 20:02:34.225,114435.8890920037
2025-09-11 21:02:41.482,114402.34864966485
2025-09-11 22:02:36.526,114531.97774766892
2025-09-11 23:02:35.315,115251.54504573994
2025-09-12 00:02:11.931,115503.16663193036
2025-09-12 01:00:47.600,116083.02684089626
2025-09-12 02:02:39.108,115541.43745371678
2025-09-12 03:02:20.659,115321.70299565145
2025-09-12 04:02:23.377,115198.04689576305
2025-09-12 05:02:00.681,115430.88537282546
2025-09-12 06:02:47.846,115656.41297780728
2025-09-12 07:03:05.554,115339.65347651657
2025-09-12 08:02:37.781,115143.92060273138
2025-09-12 09:02:44.701,115090.51727175506
2025-09-12 10:02:30.254,114977.79702489631
2025-09-12 11:02:25.697,114970.87662702953
2025-09-12 12:01:16.911,114944.79334030187
2025-09-12 13:02:51.250,115175.7456241166
2025-09-12 14:02:39.203,115182.63512744215
2025-09-12 15:01:11.665,115285.82631433172
2025-09-12 16:01:27.205,115142.91591236314
2025-09-12 17:02:23.182,115501.53307003953
2025-09-12 18:02:48.958,115870.54337234636
2025-09-12 19:02:23.134,116488.13043144876
2025-09-12 20:03:27.777,116704.71486571954
2025-09-12 21:01:43.796,116206.13807664244
2025-09-12 22:00:21.908,115951.31496911978
2025-09-12 23:02:39.610,116094.98634284323
2025-09-13 00:02:30.890,116160.14344594491
2025-09-13 01:02:40.260,116299.90574103985
2025-09-13 02:02:30.447,115817.78761225037
2025-09-13 03:01:48.947,115929.71072468456
2025-09-13 04:02:59.076,115987.13156450838
2025-09-13 05:02:06.190,115761.02619141128
2025-09-13 06:02:31.028,115744.35387449336
2025-09-13 07:03:11.576,115790.53202643781
2025-09-13 08:01:56.989,115828.38046332698
2025-09-13 09:02:35.122,116027.12405597334
2025-09-13 10:02:14.685,116073.3506135664
2025-09-13 11:02:43.344,116017.51962998649
2025-09-13 12:02:12.834,116020.66710769299
2025-09-13 13:01:37.877,116060.83417133584
2025-09-13 14:02:14.948,115768.32118748053
2025-09-13 15:01:42.113,115842.8482057885
2025-09-13 16:02:52.275,115784.10669515507
2025-09-13 17:02:46.879,115342.81410658239
2025-09-13 18:02:54.699,115567.65641109124
