timestamp,open,high,low,close,volume
2025-05-18 17:00:00,105836.02,105906.28,104873.38,104888.09,1096.4
2025-05-18 18:00:00,104888.09,104945.09,104026.98,104528.95,1462.67
2025-05-18 19:00:00,104528.95,104780.88,103902.37,103942.42,708.89
2025-05-18 20:00:00,103942.42,104279.26,103333.46,104121.18,1204.18
2025-05-18 21:00:00,104121.18,104640.04,104120.56,104244.97,473.6
2025-05-18 22:00:00,104244.97,105998.96,104025.63,105970.83,1147.38
2025-05-18 23:00:00,105970.83,106670.63,105506.84,106488.62,1459.04
2025-05-19 00:00:00,106488.62,107117.46,105175.97,105270.3,2166.76
2025-05-19 01:00:00,105270.3,105407.77,104760.59,105082.57,1061.04
2025-05-19 02:00:00,105082.57,105178.78,104585.9,104653.28,851.61
2025-05-19 03:00:00,104653.28,104653.29,103567.82,103624.57,1127.65
2025-05-19 04:00:00,103624.57,103780.78,102806.93,103017.38,1300.42
2025-05-19 05:00:00,103017.38,103124.37,102585.44,103052.73,723.71
2025-05-19 06:00:00,103052.73,103194.56,102104.37,102240.61,894.26
2025-05-19 07:00:00,102240.61,103362.0,102222.17,103259.75,459.0
2025-05-19 08:00:00,103259.75,103375.17,102968.98,103252.52,264.07
2025-05-19 09:00:00,103252.52,103408.67,103033.02,103093.81,422.82
2025-05-19 10:00:00,103093.81,103106.01,102876.84,102961.31,296.46
2025-05-19 11:00:00,102961.31,103083.13,102813.5,102995.92,248.94
2025-05-19 12:00:00,102995.92,102995.97,102175.96,102475.48,764.18
2025-05-19 13:00:00,102475.48,103552.3,102343.53,103326.4,1511.57
2025-05-19 14:00:00,103326.4,104410.65,103229.54,104354.14,2072.66
2025-05-19 15:00:00,104354.14,104996.08,104314.96,104823.69,1808.36
2025-05-19 16:00:00,104823.69,105453.73,104536.22,105390.61,1498.75
2025-05-19 17:00:00,105390.61,105569.06,104968.68,105401.1,1489.83
2025-05-19 18:00:00,105401.1,105569.56,104733.48,104801.6,1158.74
2025-05-19 19:00:00,104801.6,105588.89,104668.9,105557.04,1402.55
2025-05-19 20:00:00,105557.04,105824.3,105368.56,105498.59,836.76
2025-05-19 21:00:00,105498.59,105540.68,105063.29,105489.23,507.71
